etiqueta;codigo
dVerFor;AA002
getId;A002
attribute 'Id';A002
dDVId;A003
dFecFirma;A004
dSisFact;A005
iTipEmi;B002
dDesTipEmi;B003
dCodSeg;B004
dInfoEmi;B005
dInfoFisc;B006
iTiDE;C002
dDesTiDE;C003
dNumTim;C004
dEst;C005
dPunExp;C006
dNumDoc;C007
dSerieNum;C010
dFeIniT;C008
dFeEmiDE;D002
iTipTra;D011
dDesTipTra;D012
iTImp;D013
dDesTImp;D014
cMoneOpe;D015
dDesMoneOpe;D016
dCondTiCam;D017
dTiCam;D018
iCondAnt;D019
dDesCondAnt;D020
dRucEm;D101
dDVEmi;D102
iTipCont;D103
cTipReg;D104
dNomEmi;D105
dNomFanEmi;D106
dDirEmi;D107
dNumCas;D108
dCompDir1;D109
dCompDir2;D110
cDepEmi;D111
dDesDepEmi;D112
cDisEmi;D113
dDesDisEmi;D114
cCiuEmi;D115
dDesCiuEmi;D116
dTelEmi;D117
dEmailE;D118
dDenSuc;D119
cActEco;D131
dDesActEco;D132
iTipIDRespDE;D141
dDTipIDRespDE;D142
dNumIDRespDE;D143
dNomRespDE;D144
dCarRespDE;D145
iNatRec;D201
iTiOpe;D202
cPaisRec;D203
dDesPaisRe;D204
iTiContRec;D205
dRucRec;D206
dDVRec;D207
iTipIDRec;D208
dDTipIDRec;D209
dNumIDRec;D210
dNomRec;D211
dNomFanRec;D212
dDirRec;D213
dNumCasRec;D218
cDepRec;D219
dDesDepRec;D220
cDisRec;D221
dDesDisRec;D222
cCiuRec;D223
dDesCiuRec;D224
dTelRec;D214
dCelRec;D215
dEmailRec;D216
dCodCliente;D217
iIndPres;E011
dDesIndPres;E012
dFecEmNR;E013
dModCont;E021
dEntCont;E022
dAnoCont;E023
dSecCont;E024
dFeCodCont;E025
iMotEmi;E401
dDesMotEmi;E402
iCondOpe;E601
dDCondOpe;E602
iCondCred;E641
dDCondCred;E642
dPlazoCre;E643
dCuotas;E644
dMonEnt;E645
dCiclo;E811
dFecIniC;E812
dFecFinC;E813
dVencPag;E814
dContrato;E815
dSalAnt;E816
dSubExe;F002
dSubExo;F003
dSub5;F004
dSub10;F005
dTotOpe;F008
dTotDesc;F009
dTotDescGlotem;F033
dTotAntItem;F034
dTotAnt;F035
dPorcDescTotal;F010
dDescTotal;F011
dAnticipo;F012
dRedon;F013
dComi;F025
dTotGralOpe;F014
dIVA5;F015
dIVA10;F016
dLiqTotIVA5;F036
dLiqTotIVA10;F037
dIVAComi;F026
dTotIVA;F017
dBaseGrav5;F018
dBaseGrav10;F019
dTBasGraIVA;F020
dTotalGs;F023
dTotCom;F024
dCarQR;J002
dInfAdic;J003
dCodInt;E701
dParAranc;E702
dNCM;E703
dDncpG;E704
dDncpE;E705
dGtin;E706
dGtinPq;E707
dDesProSer;E708
cUniMed;E709
dDesUniMed;E710
dCantProSer;E711
cPaisOrig;E712
dDesPaisOrig;E713
dInfItem;E714
cRelMerc;E715
dDesRelMerc;E716
dCanQuiMer;E717
dPorQuiMer;E718
dCDCAnticipo;E719
dPUniProSer;E721
dTiCamIt;E725
dTotBruOpeItem;E727
dDescItem;EA002
dPorcDesIt;EA003
dDescGloItem;EA004
dAntPreUniIt;EA006
dAntGloPreUniIt;EA007
dTotOpeItem;EA008
dTotOpeGs;EA009
iAfecIVA;E731
dDesAfecIVA;E732
dPropIVA;E733
dTasaIVA;E734
dBasGravIVA;E735
dLiqIVAItem;E736
iTiPago;E606
dDesTiPag;E607
dMonTiPag;E608
cMoneTiPag;E609
dDMoneTiPag;E610
dTiCamTiPag;E611
iDenTarj;E621
dDesDenTarj;E622
dRSProTar;E623
dRUCProTar;E624
dDVProTar;E625
iForProPa;E626
dCodAuOpe;E627
dNomTit;E628
dNumTarj;E629
dNumCheq;E631
dBcoEmi;E632
iNatVen;E301
dDesNatVen;E302
iTipIDVen;E304
dDTipIDVen;E305
dNumIDVen;E306
dNomVen;E307
dDirVen;E308
dNumCasVen;E309
cDepVen;E310
dDesDepVen;E311
cDisVen;E312
dDesDisVen;E313
cCiuVen;E314
dDesCiuVen;E315
dDirProv;E316
cDepProv;E317
dDesDepProv;E318
cDisProv;E319
dDesDisProv;E320
cCiuProv;E321
dDesCiuProv;E322
cMoneCuo;E653
dDMoneCuo;E654
dMonCuota;E651
dVencCuo;E652
iTipDocAso;H002
dDesTipDocAso;H003
dCdCDERef;H004
dNTimDI;H005
dEstDocAso;H006
dPExpDocAso;H007
dNumDocAso;H008
iTipoDocAso;H009
dDTipoDocAso;H010
dFecEmiDI;H011
dNumComRet;H012
dNumComRet;H013
iTipCons;H014
dDesTipCons;H015
dNumCons;H016
dNumControl;H017
iMotEmiNR;E501
dDesMotEmiNR;E502
iRespEmiNR;E503
dDesRespEmiNR;E504
dKmR;E505
dFecEm;E506
iTipTrans;E901
dDesTipTrans;E902
iModTrans;E903
dDesModTrans;E904
iRespFlete;E905
cCondNeg;E906
dNuManif;E907
dNuDespImp;E908
dIniTras;E909
dFinTras;E910
cPaisDest;E911
dDesPaisDest;E912
dDirLocSal;E921
dNumCasSal;E922
dComp1Sal;E923
dComp2Sal;E924
cDepSal;E925
dDesDepSal;E926
cDisSal;E927
dDesDisSal;E928
cCiuSal;E929
dDesCiuSal;E930
dTelSal;E931
dDirLocEnt;E941
dNumCasEnt;E942
dComp1Ent;E943
dComp2Ent;E944
cDepEnt;E945
dDesDepEnt;E946
cDisEnt;E947
dDesDisEnt;E948
cCiuEnt;E949
dDesCiuEnt;E950
dTelEnt;E951
dTiVehTras;E961
dMarVeh;E962
dTipIdenVeh;E967
dNroIDVeh;E963
dAdicVeh;E964
dNroMatVeh;E965
dNroVuelo;E966
iNatTrans;E981
dNomTrans;E982
dRucTrans;E983
dDVTrans;E984
iTipIDTrans;E985
dDTipIDTrans;E986
dNumIDTrans;E987
cNacTrans;E988
dDesNacTrans;E989
dNumIDChof;E990
dNomChof;E991
dDomFisc;E992
dDirChof;E993
dNombAg;E994
dRucAg;E995
dDVAg;E996
dDirAge;E997
gCamItem;E700
gCamDEAsoc;H001
